trace_id,y,agreement,coverage,blind,plausibility
PMC9069601,1,0.0,0.8,1.0,0.52
PMC9254170,1,0.25,0.4,0.0,0.26
PMC9389568,1,0.375,0.625,1.0,0.6
PMC9361806,1,0.75,0.75,1.0,0.8
PMC9540301,1,0.25,0.375,1.0,0.45
PMC9610036,1,0.0,0.75,1.0,0.5
PMC9523897,1,0.0,0.0,1.0,0.2
PMC9949802,1,1.0,0.8333,1.0,0.9333
PMC9679462,1,0.0,0.5,0.0,0.2
PMC9721246,1,0.25,0.7778,0.0,0.4111
PMC9789769,1,0.0,0.6667,0.0,0.2667
