trace_id,label,source,hg_score,hg_passed,base_score,base_flawed,hg_error,base_error
PMC11602436,sound,rationale,0.9887,False,0.78,True,,
PMC11602436,flawed,injected_hard,0.459,False,0.78,True,,
PMC11624566,sound,rationale,0.9418,False,0.86,True,,
PMC11624566,flawed,injected_hard,0.7529,False,0.86,True,,
PMC11654271,sound,rationale,0.9405,False,0.97,True,,
PMC11654271,flawed,injected_hard,0.7959,False,0.78,True,,
PMC11671661,sound,rationale,0.9446,False,0.78,True,,
PMC11671661,flawed,injected_hard,0.7511,False,0.86,True,,
PMC11821356,sound,rationale,0.725,False,0.72,True,,
PMC11821356,flawed,injected_hard,0.5469,False,0.62,True,,
PMC11843684,sound,rationale,0.95,False,0.78,True,,
PMC11843684,flawed,injected_hard,0.3615,False,0.62,True,,
PMC12010641,sound,rationale,0.7941,False,0.9,True,,
PMC12010641,flawed,injected_hard,0.5846,False,0.86,True,,
PMC12014310,sound,rationale,0.9873,False,0.96,True,,
PMC12014310,flawed,injected_hard,0.2902,False,0.91,True,,
PMC1948010,sound,rationale,0.9854,False,0.84,True,,
PMC1948010,flawed,injected_hard,0.7368,False,0.78,True,,
PMC2394532,sound,rationale,0.9963,False,0.93,True,,
PMC2394532,flawed,injected_hard,0.7915,False,0.9,True,,
PMC2396655,sound,rationale,0.9946,False,0.78,True,,
PMC2396655,flawed,injected_hard,0.6016,False,0.78,True,,
PMC2914667,sound,rationale,0.9828,False,0.78,True,,
PMC2914667,flawed,injected_hard,0.9865,False,0.74,True,,
PMC2934912,sound,rationale,0.9884,False,0.86,True,,
PMC2934912,flawed,injected_hard,0.9831,False,0.9,True,,
PMC3138437,sound,rationale,0.95,False,0.9,True,,
PMC3138437,flawed,injected_hard,0.7536,False,0.86,True,,
PMC3170347,sound,rationale,0.9423,False,0.9,True,,
PMC3170347,flawed,injected_hard,0.7432,False,0.9,True,,
PMC3263537,sound,rationale,0.9459,False,0.84,True,,
PMC3263537,flawed,injected_hard,0.7509,False,0.84,True,,
PMC3271452,sound,rationale,0.9913,False,0.93,True,,
PMC3271452,flawed,injected_hard,0.8004,False,0.86,True,,
PMC3350282,sound,rationale,0.9852,False,0.78,True,,
PMC3350282,flawed,injected_hard,0.9976,False,0.78,True,,
PMC3423660,sound,rationale,0.7442,False,0.74,True,,
PMC3423660,flawed,injected_hard,0.4476,False,0.58,True,,
PMC3423776,sound,rationale,0.9937,False,0.86,True,,
PMC3423776,flawed,injected_hard,0.7513,False,0.78,True,,
PMC3459730,sound,rationale,0.948,False,0.93,True,,
PMC3459730,flawed,injected_hard,0.7401,False,0.9,True,,
PMC3459806,sound,rationale,0.9925,False,0.86,True,,
PMC3459806,flawed,injected_hard,0.7985,False,0.86,True,,
PMC3543206,sound,rationale,0.9933,False,0.86,True,,
PMC3543206,flawed,injected_hard,0.9335,False,0.86,True,,
PMC3544661,sound,rationale,0.939,False,0.93,True,,
PMC3544661,flawed,injected_hard,0.606,False,0.86,True,,
PMC3657244,sound,rationale,0.998,False,0.93,True,,
PMC3657244,flawed,injected_hard,0.7959,False,0.86,True,,
PMC3673371,sound,rationale,0.9914,False,0.97,True,,
PMC3673371,flawed,injected_hard,0.7369,False,0.9,True,,
PMC3884960,sound,rationale,0.7435,False,0.91,True,,
PMC3884960,flawed,injected_hard,0.6826,False,0.86,True,,
PMC3892129,sound,rationale,0.9393,False,0.9,True,,
PMC3892129,flawed,injected_hard,0.75,False,0.93,True,,
PMC3934446,sound,rationale,0.9976,False,0.9,True,,
PMC3934446,flawed,injected_hard,0.9948,False,0.84,True,,
PMC3934455,sound,rationale,0.9418,False,0.93,True,,
PMC3934455,flawed,injected_hard,0.7437,False,0.72,True,,
PMC3961933,sound,rationale,0.9712,False,0.97,True,,
PMC3961933,flawed,injected_hard,0.9987,False,0.9,True,,
PMC4008396,sound,rationale,0.9931,False,0.93,True,,
PMC4008396,flawed,injected_hard,0.9481,False,0.93,True,,
PMC4020529,sound,rationale,0.9901,False,0.97,False,,
PMC4020529,flawed,injected_hard,0.5987,False,0.93,True,,
PMC4052038,sound,rationale,0.9972,False,0.97,False,,
PMC4052038,flawed,injected_hard,0.5561,False,0.78,True,,
PMC4054582,sound,rationale,0.9898,False,0.9,True,,
PMC4054582,flawed,injected_hard,0.9892,False,0.9,True,,
PMC4140119,sound,rationale,0.9419,False,0.93,True,,
PMC4140119,flawed,injected_hard,0.2945,False,0.78,True,,
PMC4147826,sound,rationale,0.9943,False,0.86,True,,
PMC4147826,flawed,injected_hard,0.5428,False,0.74,True,,
PMC4223599,sound,rationale,0.9987,False,0.86,True,,
PMC4223599,flawed,injected_hard,0.9475,False,0.86,True,,
PMC4280803,sound,rationale,0.9417,False,0.84,True,,
PMC4280803,flawed,injected_hard,0.7485,False,0.78,True,,
PMC4300562,sound,rationale,0.9956,False,0.78,True,,
PMC4300562,flawed,injected_hard,0.7458,False,0.78,True,,
PMC4323579,sound,rationale,0.9418,False,0.84,True,,
PMC4323579,flawed,injected_hard,0.5523,False,0.72,True,,
PMC4374329,sound,rationale,0.9929,False,0.93,False,,
PMC4374329,flawed,injected_hard,0.8009,False,0.78,True,,
PMC4446922,sound,rationale,0.993,False,0.78,True,,
PMC4446922,flawed,injected_hard,0.5999,False,0.72,True,,
PMC4470191,sound,rationale,0.9988,False,0.78,True,,
PMC4470191,flawed,injected_hard,0.2928,False,0.62,True,,
PMC4501462,sound,rationale,0.996,False,0.62,True,,
PMC4501462,flawed,injected_hard,0.9919,False,0.58,True,,
PMC4506805,sound,rationale,0.9389,False,0.86,True,,
PMC4506805,flawed,injected_hard,0.738,False,0.78,True,,
PMC4506815,sound,rationale,0.9638,False,0.84,True,,
PMC4506815,flawed,injected_hard,0.7981,False,0.86,True,,
PMC4539463,sound,rationale,0.9892,False,0.97,True,,
PMC4539463,flawed,injected_hard,0.7991,False,0.86,True,,
PMC4664794,sound,rationale,0.9562,False,0.86,True,,
PMC4664794,flawed,injected_hard,0.9286,False,0.9,True,,
PMC4689918,sound,rationale,0.9459,False,0.78,True,,
PMC4689918,flawed,injected_hard,0.9943,False,0.78,True,,
PMC4707795,sound,rationale,0.9846,False,0.93,True,,
PMC4707795,flawed,injected_hard,0.7533,False,0.72,True,,
PMC4862300,sound,rationale,0.9905,False,0.86,True,,
PMC4862300,flawed,injected_hard,0.7307,False,0.86,True,,
PMC4929803,sound,rationale,0.9777,False,0.9,True,,
PMC4929803,flawed,injected_hard,0.7416,False,0.84,True,,
PMC5054479,sound,rationale,0.9405,False,0.9,True,,
PMC5054479,flawed,injected_hard,0.9494,False,0.86,True,,
PMC5237164,sound,rationale,0.9472,False,0.78,True,,
PMC5237164,flawed,injected_hard,0.5471,False,0.72,True,,
PMC5304560,sound,rationale,0.9913,False,0.98,False,,
PMC5304560,flawed,injected_hard,0.9981,False,0.97,False,,
PMC5340649,sound,rationale,0.9915,False,0.78,True,,
PMC5340649,flawed,injected_hard,0.453,False,0.74,True,,
PMC5382461,sound,rationale,0.9441,False,0.78,True,,
PMC5382461,flawed,injected_hard,0.5567,False,0.78,True,,
PMC5484965,sound,rationale,0.9401,False,0.93,True,,
PMC5484965,flawed,injected_hard,0.749,False,0.93,True,,
PMC5676292,sound,rationale,0.8765,False,0.86,True,,
PMC5676292,flawed,injected_hard,0.7337,False,0.78,True,,
PMC5731179,sound,rationale,0.9429,False,0.93,True,,
PMC5731179,flawed,injected_hard,0.7444,False,0.86,True,,
PMC5799069,sound,rationale,0.9403,False,0.93,True,,
PMC5799069,flawed,injected_hard,0.5532,False,0.78,True,,
PMC5807253,sound,rationale,0.9493,False,0.9,True,,
PMC5807253,flawed,injected_hard,0.7534,False,0.9,True,,
PMC5821965,sound,rationale,0.8013,False,0.84,True,,
PMC5821965,flawed,injected_hard,0.5984,False,0.86,True,,
PMC5977048,sound,rationale,0.9798,False,0.96,True,,
PMC5977048,flawed,injected_hard,0.7332,False,0.86,True,,
PMC6047986,sound,rationale,0.9919,False,0.78,True,,
PMC6047986,flawed,injected_hard,0.3462,False,0.78,True,,
PMC6101595,sound,rationale,0.9971,False,0.86,True,,
PMC6101595,flawed,injected_hard,0.8002,False,0.78,True,,
PMC6151222,sound,rationale,0.9457,False,0.93,True,,
PMC6151222,flawed,injected_hard,0.2034,False,0.86,True,,
PMC6176474,sound,rationale,0.9959,False,0.93,True,,
PMC6176474,flawed,injected_hard,0.9414,False,0.84,True,,
PMC6177042,sound,rationale,0.95,False,0.9,True,,
PMC6177042,flawed,injected_hard,0.7509,False,0.84,True,,
PMC6192136,sound,rationale,0.9905,False,0.78,True,,
PMC6192136,flawed,injected_hard,0.7469,False,0.62,True,,
PMC6241168,sound,rationale,1.0,True,0.93,False,,
PMC6241168,flawed,injected_hard,0.8011,False,0.86,True,,
PMC6243317,sound,rationale,0.9437,False,0.98,True,,
PMC6243317,flawed,injected_hard,0.937,False,0.93,True,,
PMC6282426,sound,rationale,0.9939,False,0.96,True,,
PMC6282426,flawed,injected_hard,0.7517,False,0.93,True,,
PMC6335789,sound,rationale,1.0,True,0.93,True,,
PMC6335789,flawed,injected_hard,0.2991,False,0.78,True,,
PMC6342725,sound,rationale,0.9982,False,0.9,True,,
PMC6342725,flawed,injected_hard,0.361,False,0.78,True,,
PMC6421145,sound,rationale,0.9973,False,0.9,True,,
PMC6421145,flawed,injected_hard,0.7489,False,0.86,True,,
PMC6519488,sound,rationale,0.9476,False,0.84,True,,
PMC6519488,flawed,injected_hard,0.5564,False,0.78,True,,
PMC6556260,sound,rationale,0.9901,False,0.86,True,,
PMC6556260,flawed,injected_hard,0.7475,False,0.84,True,,
PMC6557017,sound,rationale,0.9399,False,0.78,True,,
PMC6557017,flawed,injected_hard,0.7429,False,0.78,True,,
PMC6656673,sound,rationale,0.9872,False,0.93,False,,
PMC6656673,flawed,injected_hard,0.7955,False,0.91,True,,
PMC6709319,sound,rationale,0.9941,False,0.93,True,,
PMC6709319,flawed,injected_hard,0.749,False,0.86,True,,
PMC6726168,sound,rationale,0.9878,False,0.86,True,,
PMC6726168,flawed,injected_hard,0.6935,False,0.78,True,,
PMC6726171,sound,rationale,0.9864,False,0.93,True,,
PMC6726171,flawed,injected_hard,0.9767,False,0.93,True,,
PMC6735545,sound,rationale,0.9467,False,0.9,True,,
PMC6735545,flawed,injected_hard,0.7971,False,0.9,True,,
PMC6737792,sound,rationale,0.9829,False,0.93,False,,
PMC6737792,flawed,injected_hard,0.7448,False,0.84,True,,
PMC6815408,sound,rationale,0.9449,False,0.93,True,,
PMC6815408,flawed,injected_hard,0.7521,False,0.86,True,,
PMC6928534,sound,rationale,0.9919,False,0.9,True,,
PMC6928534,flawed,injected_hard,0.6034,False,0.84,True,,
PMC7036447,sound,rationale,0.9774,False,0.84,True,,
PMC7036447,flawed,injected_hard,0.5534,False,0.78,True,,
PMC7036531,sound,rationale,0.9964,False,0.9,True,,
PMC7036531,flawed,injected_hard,0.9945,False,0.9,True,,
PMC7103037,sound,rationale,0.9472,False,0.93,True,,
PMC7103037,flawed,injected_hard,0.7467,False,0.74,True,,
PMC7141725,sound,rationale,0.9366,False,0.78,True,,
PMC7141725,flawed,injected_hard,0.5392,False,0.78,True,,
PMC7205540,sound,rationale,0.9457,False,0.78,True,,
PMC7205540,flawed,injected_hard,0.9863,False,0.78,True,,
PMC7284055,sound,rationale,0.945,False,0.84,True,,
PMC7284055,flawed,injected_hard,0.9206,False,0.78,True,,
PMC7362425,sound,rationale,0.971,False,0.9,True,,
PMC7362425,flawed,injected_hard,0.786,False,0.78,True,,
PMC7443985,sound,rationale,0.9891,False,0.86,True,,
PMC7443985,flawed,injected_hard,0.7923,False,0.9,True,,
PMC7463383,sound,rationale,0.936,False,0.84,True,,
PMC7463383,flawed,injected_hard,0.2513,False,0.72,True,,
PMC7501920,sound,rationale,0.9917,False,0.84,True,,
PMC7501920,flawed,injected_hard,0.7482,False,0.78,True,,
PMC7546059,sound,rationale,0.9456,False,0.93,True,,
PMC7546059,flawed,injected_hard,0.294,False,0.9,True,,
PMC7568165,sound,rationale,0.9476,False,0.84,True,,
PMC7568165,flawed,injected_hard,0.7943,False,0.78,True,,
PMC7676809,sound,rationale,0.975,False,0.93,True,,
PMC7676809,flawed,injected_hard,0.9869,False,0.93,True,,
PMC7752573,sound,rationale,0.9959,False,0.78,True,,
PMC7752573,flawed,injected_hard,0.7344,False,0.78,True,,
PMC7813055,sound,rationale,0.9452,False,0.78,True,,
PMC7813055,flawed,injected_hard,0.554,False,0.78,True,,
PMC7845154,sound,rationale,0.9957,False,0.93,True,,
PMC7845154,flawed,injected_hard,0.9966,False,0.86,True,,
PMC7850611,sound,rationale,0.9992,False,0.9,True,,
PMC7850611,flawed,injected_hard,0.9373,False,0.78,True,,
PMC7873790,sound,rationale,0.3459,False,0.93,False,,
PMC7873790,flawed,injected_hard,0.7321,False,0.86,True,,
PMC7924145,sound,rationale,0.9772,False,0.84,True,,
PMC7924145,flawed,injected_hard,0.945,False,0.78,True,,
PMC7937576,sound,rationale,0.9967,False,0.93,True,,
PMC7937576,flawed,injected_hard,0.7932,False,0.93,True,,
PMC7954390,sound,rationale,0.9425,False,0.86,True,,
PMC7954390,flawed,injected_hard,0.9375,False,0.93,True,,
PMC7981723,sound,rationale,0.9994,False,0.91,True,,
PMC7981723,flawed,injected_hard,0.7536,False,0.86,True,,
PMC7993351,sound,rationale,0.9457,False,0.86,True,,
PMC7993351,flawed,injected_hard,0.7515,False,0.9,True,,
PMC8032522,sound,rationale,0.9286,False,0.84,True,,
PMC8032522,flawed,injected_hard,0.5592,False,0.72,True,,
PMC8046473,sound,rationale,0.9961,False,0.93,True,,
PMC8046473,flawed,injected_hard,0.557,False,0.72,True,,
PMC8053279,sound,rationale,0.9403,False,0.78,True,,
PMC8053279,flawed,injected_hard,0.7419,False,0.78,True,,
PMC8123563,sound,rationale,0.996,False,0.84,True,,
PMC8123563,flawed,injected_hard,0.9954,False,0.78,True,,
PMC8138282,sound,rationale,0.9434,False,0.84,True,,
PMC8138282,flawed,injected_hard,0.9165,False,0.9,True,,
PMC8186929,sound,rationale,0.9973,False,0.93,True,,
PMC8186929,flawed,injected_hard,0.9961,False,0.96,True,,
PMC8190582,sound,rationale,0.9798,False,0.9,True,,
PMC8190582,flawed,injected_hard,0.7368,False,0.84,True,,
PMC8243071,sound,rationale,0.9351,False,0.78,True,,
PMC8243071,flawed,injected_hard,0.5451,False,0.62,True,,
PMC8265096,sound,rationale,0.9935,False,0.9,True,,
PMC8265096,flawed,injected_hard,0.689,False,0.86,True,,
PMC8294152,sound,rationale,0.9729,False,0.93,True,,
PMC8294152,flawed,injected_hard,0.7462,False,0.93,True,,
PMC8299630,sound,rationale,0.8778,False,0.62,True,,
PMC8299630,flawed,injected_hard,0.6755,False,0.58,True,,
PMC8367851,sound,rationale,0.9161,False,0.93,True,,
PMC8367851,flawed,injected_hard,0.9352,False,0.78,True,,
PMC8378370,sound,rationale,0.986,False,0.78,True,,
PMC8378370,flawed,injected_hard,0.9917,False,0.78,True,,
PMC8420661,sound,rationale,0.9947,False,0.78,True,,
PMC8420661,flawed,injected_hard,0.983,False,0.78,True,,
PMC8436279,sound,rationale,0.9455,False,0.78,True,,
PMC8436279,flawed,injected_hard,0.362,False,0.62,True,,
PMC8461971,sound,rationale,0.9916,False,0.93,True,,
PMC8461971,flawed,injected_hard,0.5524,False,0.9,True,,
PMC8536869,sound,rationale,0.9372,False,0.84,True,,
PMC8536869,flawed,injected_hard,0.9467,False,0.78,True,,
PMC8557694,sound,rationale,0.9928,False,0.78,True,,
PMC8557694,flawed,injected_hard,0.7535,False,0.86,True,,
PMC8577092,sound,rationale,0.9911,False,0.9,True,,
PMC8577092,flawed,injected_hard,0.7431,False,0.78,True,,
PMC8627342,sound,rationale,0.9978,False,0.86,True,,
PMC8627342,flawed,injected_hard,0.6402,False,0.72,True,,
PMC8731213,sound,rationale,0.9866,False,0.9,True,,
PMC8731213,flawed,injected_hard,0.9959,False,0.84,True,,
PMC8777167,sound,rationale,0.9897,False,0.93,True,,
PMC8777167,flawed,injected_hard,0.6076,False,0.86,True,,
PMC8784702,sound,rationale,0.9448,False,0.9,True,,
PMC8784702,flawed,injected_hard,0.9468,False,0.86,True,,
PMC8832220,sound,rationale,0.9476,False,0.86,True,,
PMC8832220,flawed,injected_hard,0.8021,False,0.78,True,,
PMC8840641,sound,rationale,1.0,True,0.93,True,,
PMC8840641,flawed,injected_hard,0.7441,False,0.86,True,,
PMC8895532,sound,rationale,0.9672,False,0.78,True,,
PMC8895532,flawed,injected_hard,0.9952,False,0.72,True,,
PMC8933725,sound,rationale,1.0,True,0.78,True,,
PMC8933725,flawed,injected_hard,0.8036,False,0.78,True,,
PMC8957291,sound,rationale,0.9448,False,0.84,True,,
PMC8957291,flawed,injected_hard,0.7932,False,0.78,True,,
PMC8962241,sound,rationale,0.9948,False,0.9,True,,
PMC8962241,flawed,injected_hard,0.9436,False,0.84,True,,
PMC9009014,sound,rationale,0.9839,False,0.78,True,,
PMC9009014,flawed,injected_hard,0.7961,False,0.84,True,,
PMC9127846,sound,rationale,0.9988,False,0.78,True,,
PMC9127846,flawed,injected_hard,0.7539,False,0.78,True,,
PMC9166963,sound,rationale,0.935,False,0.86,True,,
PMC9166963,flawed,injected_hard,0.7341,False,0.86,True,,
PMC9176094,sound,rationale,0.9992,False,0.78,True,,
PMC9176094,flawed,injected_hard,0.8039,False,0.78,True,,
PMC9201294,sound,rationale,0.7463,False,0.78,True,,
PMC9201294,flawed,injected_hard,0.9287,False,0.62,True,,
PMC9334930,sound,rationale,0.9846,False,0.91,True,,
PMC9334930,flawed,injected_hard,0.7896,False,0.78,True,,
PMC9361461,sound,rationale,0.9481,False,0.78,True,,
PMC9361461,flawed,injected_hard,0.7481,False,0.78,True,,
PMC9361795,sound,rationale,0.984,False,0.78,True,,
PMC9361795,flawed,injected_hard,0.7899,False,0.93,True,,
PMC9405725,sound,rationale,0.9951,False,0.9,True,,
PMC9405725,flawed,injected_hard,0.7203,False,0.84,True,,
PMC9420635,sound,rationale,0.9471,False,0.93,True,,
PMC9420635,flawed,injected_hard,0.9426,False,0.93,True,,
PMC9440340,sound,rationale,0.5519,False,0.9,True,,
PMC9440340,flawed,injected_hard,0.7968,False,0.9,True,,
PMC9470109,sound,rationale,0.9882,False,0.86,True,,
PMC9470109,flawed,injected_hard,0.9967,False,0.78,True,,
PMC9533799,sound,rationale,0.9386,False,0.86,True,,
PMC9533799,flawed,injected_hard,0.5352,False,0.72,True,,
PMC9544847,sound,rationale,0.9957,False,0.86,True,,
PMC9544847,flawed,injected_hard,0.7962,False,0.93,True,,
PMC9675078,sound,rationale,0.8509,False,0.62,True,,
PMC9675078,flawed,injected_hard,0.9435,False,0.62,True,,
PMC9676116,sound,rationale,0.9942,False,0.84,True,,
PMC9676116,flawed,injected_hard,0.5944,False,0.78,True,,
PMC9801570,sound,rationale,0.944,False,0.9,True,,
PMC9801570,flawed,injected_hard,0.2952,False,0.78,True,,
PMC9832730,sound,rationale,0.981,False,0.9,True,,
PMC9832730,flawed,injected_hard,0.9292,False,0.9,True,,
PMC9834917,sound,rationale,0.9895,False,0.78,True,,
PMC9834917,flawed,injected_hard,0.4084,False,0.78,True,,
PMC9943934,sound,rationale,0.9986,False,0.93,True,,
PMC9943934,flawed,injected_hard,0.5543,False,0.72,True,,
PMC9969826,sound,rationale,1.0,True,0.93,True,,
PMC9969826,flawed,injected_hard,0.9982,False,0.9,True,,
PMC9976724,sound,rationale,0.9419,False,0.78,True,,
PMC9976724,flawed,injected_hard,0.7493,False,0.78,True,,
PMC9990263,sound,rationale,0.9895,False,0.93,False,,
PMC9990263,flawed,injected_hard,0.5966,False,0.93,True,,
